"","Rank","City","Cost of Living Index","Rent Index","Cost of Living Plus Rent Index","Groceries Index","Restaurant Price Index","Local Purchasing Power Index"
"1",NA,"New York, NY, United States",100,100,100,100,100,100
"2",NA,"Honolulu, HI, United States",95.67,61.58,79.3,106.64,85.75,101.03
"3",NA,"Washington, DC, United States",91.99,70.51,81.68,98.45,86.55,126.08
"4",NA,"San Francisco, CA, United States",91.67,106.05,98.58,94.22,92.11,134.05
"5",NA,"Brooklyn, NY, United States",90.29,79.99,85.34,87.17,94.34,87.19
"6",NA,"Oakland, CA, United States",84.24,75.55,80.07,84.69,81.94,134.28
"7",NA,"Seattle, WA, United States",84.16,63.68,74.32,82.69,80.09,139.2
"8",NA,"Boston, MA, United States",82.68,72.59,77.84,82.76,81.94,121.89
"9",NA,"Toronto, Canada",80.68,47.9,64.94,81.3,76.09,87.38
"10",NA,"Miami, FL, United States",80.45,55.81,68.62,79.43,83.45,86.92
"11",NA,"Philadelphia, PA, United States",80.19,45.39,63.48,80.37,75.08,118.48
"12",NA,"Albany, NY, United States",78.5,31.09,55.73,77.74,78.72,105.65
"13",NA,"Los Angeles, CA, United States",78.2,69.26,73.9,74.05,85.12,113.47
"14",NA,"Sacramento, CA, United States",77.76,44.54,61.81,74.6,74.62,131.2
"15",NA,"Chicago, IL, United States",77.75,51.61,65.2,73.9,78.96,133.36
"16",NA,"San Jose, CA, United States",76.36,77.15,76.74,71.81,82.33,172.52
"17",NA,"Bellingham, WA, United States",75.7,34.84,56.08,78.11,71.24,107.33
"18",NA,"Charlotte, NC, United States",75.63,40.78,58.9,73.04,76.21,145.53
"19",NA,"Minneapolis, MN, United States",75.33,46.24,61.36,71.06,77.44,125.9
"20",NA,"Baltimore, MD, United States",75.24,39.95,58.3,73.03,77.31,125.36
"21",NA,"Rochester, NY, United States",75.01,30.4,53.59,80.12,71.84,82.22
"22",NA,"Portland, OR, United States",74.93,48.76,62.36,72.12,72.44,123.51
"23",NA,"Pittsburgh, PA, United States",74.79,36.44,56.37,71.15,70.18,109.13
"24",NA,"Saskatoon, Canada",73.07,24.16,49.58,71.45,68.87,100.76
"25",NA,"San Diego, CA, United States",72.67,60.65,66.9,66.2,79.01,136.48
"26",NA,"Atlanta, GA, United States",72.26,46.18,59.74,68.38,72.08,145.47
"27",NA,"Buffalo, NY, United States",71.07,28.28,50.52,63.9,78.68,109.47
"28",NA,"Denver, CO, United States",70.72,51.64,61.56,66.83,76.76,126.76
"29",NA,"Tampa, FL, United States",70.46,38.84,55.28,70.98,72.07,123.8
"30",NA,"Asheville, NC, United States",70.44,37.76,54.74,71.94,68.24,98.34
"31",NA,"Cleveland, OH, United States",70.36,28.39,50.21,64.56,71.54,110.12
"32",NA,"Milwaukee, WI, United States",70.22,34.74,53.18,66.63,76.1,102.27
"33",NA,"Raleigh, NC, United States",70.06,35.66,53.54,75.28,65.32,160.35
"34",NA,"Austin, TX, United States",69.94,49.83,60.29,67.32,75.48,143.76
"35",NA,"Orlando, FL, United States",69.38,39.35,54.96,68.91,69.62,115.68
"36",NA,"Jacksonville, FL, United States",69,30.45,50.49,68.39,69.92,133.31
"37",NA,"Halifax, Canada",68.86,26.11,48.33,72.25,59.28,96.73
"38",NA,"Kansas City, MO, United States",68.81,29.81,50.08,63.11,74.51,135.13
"39",NA,"Fresno, CA, United States",68.54,30.57,50.31,59.36,93.38,101.93
"40",NA,"Calgary, Canada",68.4,29.81,49.86,63.51,69.3,131.66
"41",NA,"Tucson, AZ, United States",67.99,23.87,46.8,57.34,68.03,115.99
"42",NA,"Vancouver, Canada",67.88,47.05,57.88,65.89,68.45,91.45
"43",NA,"Las Vegas, NV, United States",67.81,29.97,49.64,62.68,71.09,133.59
"44",NA,"Nashville, TN, United States",67.5,47.1,57.7,63.32,77.94,134.42
"45",NA,"Bakersfield, CA, United States",67.35,29.76,49.3,66.11,66.23,141.07
"46",NA,"Victoria, Canada",67.22,36.24,52.34,68.79,61.1,99.83
"47",NA,"Indianapolis, IN, United States",67.05,31.91,50.18,63.51,71.07,116.83
"48",NA,"Kelowna, Canada",66.99,31.75,50.07,63.12,67.59,105.57
"49",NA,"Dallas, TX, United States",66.95,43.46,55.67,62.43,71.92,158.15
"50",NA,"Fort Worth, TX, United States",66.91,34.89,51.53,60.17,69.09,133.67
"51",NA,"Saint Louis, MO, United States",66.77,29.84,49.04,63.07,69.81,137.4
"52",NA,"Phoenix, AZ, United States",65.88,34.65,50.88,62.1,68.95,143.14
"53",NA,"Columbus, OH, United States",65.79,34.86,50.94,59.7,65.31,127.33
"54",NA,"Regina, Canada",65.69,27.9,47.54,65.38,60.22,107.97
"55",NA,"Richmond, VA, United States",65.52,32.88,49.85,63.91,68.71,128.64
"56",NA,"Edmonton, Canada",65.23,27.73,47.22,62.28,62.17,119.88
"57",NA,"Ottawa, Canada",65.19,29.57,48.08,60.38,62.71,130.21
"58",NA,"Mississauga, Canada",65.05,35.15,50.69,60.53,59.05,121.14
"59",NA,"Louisville, KY, United States",64.65,26.18,46.18,58.53,72.7,114.61
"60",NA,"Quebec City, Canada",64.5,15.23,40.84,64.53,58.33,131.85
"61",NA,"Memphis, TN, United States",64.35,26,45.93,57.93,65.41,130.46
"62",NA,"Albuquerque, NM, United States",64.2,27.13,46.4,64.7,64.83,122.06
"63",NA,"Knoxville, TN, United States",64.06,29.07,47.26,67.4,58.36,105.74
"64",NA,"Houston, TX, United States",63.62,43.01,53.72,57.18,76.94,146.52
"65",NA,"Cincinnati, OH, United States",63.48,31.27,48.01,61.53,59.85,126.99
"66",NA,"Madison, WI, United States",63.48,35.9,50.23,58.55,64.97,136.4
"67",NA,"Salt Lake City, UT, United States",63.38,35.82,50.14,59.97,64.55,144.68
"68",NA,"Tulsa, OK, United States",63.24,26.35,45.52,63.41,60.51,120.32
"69",NA,"Coquitlam, Canada",62.94,36.47,50.23,61.49,57.63,106
"70",NA,"Montreal, Canada",62.47,24.3,44.14,62.19,59.3,107.95
"71",NA,"San Antonio, TX, United States",61.87,33.08,48.04,59.46,58.21,135.39
"72",NA,"Reno, NV, United States",61.46,37.27,49.84,56.07,62.13,133.61
"73",NA,"Little Rock, AR, United States",60.71,24.67,43.4,56.89,62.9,132.12
