"","Year and control of institution","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Constant 2017-18 dollars1","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars","Current dollars"
"1","Year and control of institution","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Tuition and required fees2","Tuition and required fees2","Tuition and required fees2","Dormitory rooms","Dormitory rooms","Dormitory rooms","Board3","Board3","Board3","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Tuition and required fees2","Tuition and required fees2","Tuition and required fees2","Dormitory rooms","Dormitory rooms","Dormitory rooms","Board3","Board3","Board3"
"2","Year and control of institution","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year","All insti-tutions","4-year","2-year"
"3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"4","All institutions","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1963-64","$10,040","$10,347","$6,238","$4,089","$4,446","$1,378","$2,271","$2,241","$1,683","$3,679","$3,660","$3,178","$1,248","$1,286","$775","$508","$553","$171","$282","$279","$209","$457","$455","$395"
"6","1966-67","10,387","10,849","6,978","4,327","4,827","1,615","2,476","2,465","2,110","3,585","3,557","3,252","1,378","1,439","926","574","640","214","328","327","280","476","472","431"
"7","1967-68","10,325","10,852","7,178","4,287","4,835","1,694","2,495","2,489","2,199","3,543","3,527","3,286","1,415","1,487","984","588","663","232","342","341","301","486","483","450"
"8","1968-69","10,147","10,750","7,325","4,149","4,753","1,742","2,506","2,505","2,274","3,492","3,491","3,309","1,459","1,545","1,053","596","683","250","360","360","327","502","502","476"
"9","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1969-70","10,247","10,999","7,156","4,238","4,959","1,625","2,557","2,574","2,279","3,453","3,465","3,252","1,560","1,674","1,089","645","755","247","389","392","347","526","528","495"
"11","1970-71","10,323","11,145","6,998","4,297","5,083","1,558","2,616","2,635","2,308","3,409","3,427","3,132","1,653","1,784","1,120","688","814","249","419","422","369","546","549","501"
"12","1971-72","10,434","11,321","7,065","4,364","5,218","1,512","2,683","2,704","2,357","3,387","3,400","3,196","1,730","1,878","1,172","724","865","251","445","448","391","562","564","530"
"13","1972-73","10,632","11,771","7,396","4,402","5,508","1,663","2,827","2,854","2,404","3,403","3,408","3,329","1,834","2,031","1,276","759","950","287","488","492","415","587","588","574"
"14","1973-74","10,128","11,161","7,229","4,234","5,240","1,748","2,636","2,660","2,287","3,257","3,261","3,194","1,903","2,097","1,358","796","985","328","495","500","430","612","613","600"
"15","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","1974-75","9,501","10,476","6,858","3,878","4,830","1,570","2,530","2,552","2,205","3,093","3,094","3,084","1,983","2,187","1,432","809","1,008","328","528","533","460","646","646","644"
"17","1975-76","9,410","10,536","6,592","3,709","4,801","1,330","2,545","2,577","2,121","3,156","3,157","3,142","2,103","2,355","1,473","829","1,073","297","569","576","474","705","706","702"
"18","1976-77","9,619","10,894","6,755","3,907","5,151","1,461","2,551","2,582","2,125","3,161","3,161","3,169","2,275","2,577","1,598","924","1,218","346","603","611","503","748","748","750"
"19","1977-78","9,550","10,795","6,748","3,900","5,116","1,498","2,556","2,590","2,079","3,094","3,089","3,171","2,411","2,725","1,703","984","1,291","378","645","654","525","781","780","801"
"20","1978-79","9,370","10,567","6,622","3,885","5,059","1,488","2,492","2,519","2,083","2,992","2,988","3,050","2,587","2,917","1,828","1,073","1,397","411","688","696","575","826","825","842"
"21","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","1979-80","8,978","10,122","6,326","3,717","4,836","1,441","2,400","2,427","2,007","2,861","2,860","2,878","2,809","3,167","1,979","1,163","1,513","451","751","759","628","895","895","900"
"23","1980-81","8,883","10,024","6,388","3,691","4,808","1,506","2,395","2,423","2,018","2,797","2,792","2,864","3,101","3,499","2,230","1,289","1,679","526","836","846","705","976","975","1,000"
