4 year university cost by years,Total cost,Tuition and required fees,Dormitory rooms,Board,,,,,,,,
,,,,,,,,,,,,
1999-2000,"18,100","10,319","4,031","3,749",,,,,,,,
2000-01,"18,313","10,446","4,099","3,767",,,,,,,,
2001-02,"18,992","10,842","4,261","3,889",,,,,,,,
2002-03,"19,674","11,321","4,446","3,907",,,,,,,,
2003-04,"20,674","12,039","4,598","4,038",,,,,,,,
,,,,,,,,,,,,
2004-05,"21,370","12,563","4,740","4,067",,,,,,,,
2005-06,"21,760","12,817","4,869","4,075",,,,,,,,
2006-07,"22,453","13,286","5,003","4,164",,,,,,,,
2007-08,"22,696","13,426","5,059","4,211",,,,,,,,
2008-09,"23,536","13,924","5,268","4,345",,,,,,,,
,,,,,,,,,,,,
2009-10,"24,186","14,201","5,478","4,507",,,,,,,,
2010-11,"24,773","14,529","5,634","4,611",,,,,,,,
2011-12,"25,090","14,798","5,696","4,596",,,,,,,,
2012-13,"25,601","15,122","5,827","4,652",,,,,,,,
2013-14,"26,084","15,378","5,970","4,736",,,,,,,,
,,,,,,,,,,,,
2014-15,"26,638","15,680","6,133","4,824",,,,,,,,
2015-16,"27,213","15,977","6,292","4,943",,,,,,,,
2016-17,"27,192","15,861","6,371","4,959",,,,,,,,
2017-18,"27,357","15,924","6,451","4,982",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
